date,category,amount,notes
2025-06-02,IT Subscriptions,590.0,Zoho Books
2025-06-02,Stock,2355.0,Bebeto
2025-06-04,Stock,1080.0,Popcorn Rebuplic
2025-06-04,Stock,10445.0,Haitham Nuts
2025-06-12,Stock,20275.0,Haitham Nuts
2025-06-14,Stock,6006.0,Gamy
2025-06-14,Stock,6198.3,Bebeto
2025-06-15,Packaging Boxes,2610.0,KRNO packaging
2025-06-19,Stock,1020.0,El Saleh Nuts
2025-06-22,Stock,19587.5,Haitham Nuts
2025-06-28,Packaging Boxes,3510.0,KRNO packaging
2025-06-28,Stock,6893.19,Bebeto
2025-06-29,Stock,354.0,Halto Chocolate Cono
2025-06-30,Stock,13950.0,Haitham Nuts
2025-07-01,Rent Expense,15000.0,Hyper Hub
2025-07-02,IT Subscriptions,590.0,Zoho Books
2025-07-02,Stock,13950.0,Haitham Nuts
2025-07-07,Stock,6780.0,Gamy
2025-07-07,Stock,18025.0,Haitham Nuts
2025-07-11,Stock,610.0,Bab el Bahr Souq
2025-07-12,Packaging Boxes,3540.0,KRNO packaging
2025-07-14,Salaries and Employee Wages,1500.0,
2025-07-14,Stock,5000.0,Gamy
2025-07-14,Stock,14612.0,Gamy
2025-07-17,Stock,18675.0,Haitham Nuts
2025-07-19,Stock,7566.0,Bebeto
2025-07-22,Packaging Boxes,1030.0,KRNO packaging
2025-07-23,Stock,236.0,Halto CONO
2025-07-24,Stock,15175.0,Haitham Nuts
2025-07-26,Stock,3707.55,Teeka
2025-07-27,Stock,1890.0,El Saleh Nuts
2025-07-28,Packaging Boxes,1760.0,KRNO packaging
2025-08-01,Advertising And Marketing,5000.0,
2025-08-01,Packaging Boxes,2770.0,KRNO packaging
2025-08-01,Rent Expense,15000.0,Hyper Hub
2025-08-01,Salaries and Employee Wages,2050.0,
2025-08-02,IT Subscriptions,590.0,
2025-08-02,Stock,1890.0,El Saleh Nuts
2025-08-02,Stock,14675.0,Haitham Nuts
2025-08-02,Stock,37375.0,Haitham Nuts
2025-08-03,Rent Expense,15000.0,Hyper Hub
2025-08-09,Stock,6841.0,Gamy
2025-08-09,Stock,8730.0,Bebeto
2025-08-09,Stock,9603.0,Bebeto
2025-08-12,Packaging Boxes,1520.0,
2025-08-17,Stock,17250.0,Haitham Nuts
2025-08-28,Packaging Boxes,1760.0,
2025-08-28,Stock,7857.0,Bebeto
2025-09-01,Rent Expense,15000.0,Hyper Hub
2025-09-01,Salaries and Employee Wages,2000.0,
2025-09-02,IT Subscriptions,590.0,
2025-09-02,Packaging Boxes,4350.0,
2025-09-04,Stock,1655.0,Gamy
2025-09-04,Stock,16425.0,Haitham Nuts
2025-09-08,Stock,2670.0,El Saleh Nuts
2025-09-13,Furniture and Equipment,7800.0,
2025-09-13,Packing materials,900.0,
2025-09-14,Stock,1271.7,Teeka
2025-09-15,Stock,19150.0,Haitham Nuts
2025-09-16,Stock,354.0,Halto Chocolate Cono
2025-09-20,Stock,18437.7,Haitham Nuts
2025-09-21,Stock,17252.5,Haitham Nuts
2025-09-22,Packaging Boxes,2700.0,KRNO packaging
2025-09-22,Stock,1360.0,Popcorn Rebuplic
2025-09-25,Salaries and Employee Wages,3900.0,
2025-10-01,Rent Expense,15000.0,Hyper Hub
2025-10-02,IT Subscriptions,590.0,
2025-10-02,Stock,354.0,Halto Chocolate Cono
2025-10-08,Stock,5950.0,Gamy
2025-11-01,Rent Expense,15000.0,Hyper Hub
2025-11-02,IT Subscriptions,590.0,
2025-12-01,Rent Expense,15000.0,Hyper Hub
2025-12-02,IT Subscriptions,590.0,
2026-03-02,Stock,15040.0,nuts/bills
2026-03-03,Stock,20820.0,nuts/bills
2026-03-08,Stock,11050.0,nuts/bills
2026-03-10,Stock,6606.0,nuts/bills
2026-03-11,Stock,590.0,nuts/bills
2026-03-12,Stock,350.0,nuts/bills
2026-03-13,Stock,17289.72,nuts/bills
2026-03-14,Stock,2640.0,nuts/bills
2026-03-15,Stock,6490.0,nuts/bills
2026-03-31,Stock,4500.0,nuts/bills
2026-04-07,Stock,9748.0,nuts/bills
2026-04-08,Stock,6882.3,nuts/bills
2026-04-09,Stock,25590.0,nuts/bills
2026-04-14,Stock,2185.0,nuts/bills
2026-04-18,Stock,19520.0,nuts/bills
2026-04-26,Stock,3855.0,nuts/bills
2026-05-02,Stock,23800.0,nuts/bills
2026-05-04,Stock,565.0,nuts/bills
2026-05-06,Stock,4820.0,nuts/bills
2026-05-18,Stock,12630.0,nuts/bills
2026-05-20,Stock,7968.0,nuts/bills
2026-05-21,Stock,10969.0,nuts/bills
